channel,tvg_id,group,working,reason,seconds,host,url
Goldmines (576p),Goldmines.in,IN Movies,no,HTTP 404,0.9,tvsen3.aynaott.com,https://tvsen3.aynaott.com/VamXuQH8/index.m3u8
Goldmines Bollywood (576p),GoldminesBollywood.in,IN Movies,no,HTTP 404,0.9,tvsen6.aynaott.com,https://tvsen6.aynaott.com/55xNrLdf/index.m3u8
Goldmines Bollywood (576p),GoldminesBollywood.in,IN Movies,no,segment HTTP 404,2.8,mumt03.tangotv.in,https://mumt03.tangotv.in/Dsly5z3HGOLDMINESBOLLYWOOD/index.m3u8
J Movie (576p),JMovie.in,IN Movies,no,unreachable (timed out) after 3 tries,36.0,103.72.101.252:8080,http://103.72.101.252:8080/live/417.m3u8
Manoranjan Grand (720p),ManoranjanGrand.in,IN Movies,no,HTTP 404,0.6,cdn-1.pishow.tv,https://cdn-1.pishow.tv/live/1011/master.m3u8
Manoranjan Movies (720p),ManoranjanMovies.in,IN Movies,no,unreachable (timed out) after 3 tries,36.0,103.213.31.109:90,http://103.213.31.109:90/ManoranjanMovies/playlist.m3u8
MNX HD (1080p),MNX.in@HD,IN Movies,no,unreachable ([Errno 111] Connection refused) after 3 tries,0.6,149.71.34.166:8000,http://149.71.34.166:8000/play/a05u/index.m3u8
MoviePlex (576p),MoviePlex.in,IN Movies,no,unreachable (timed out) after 3 tries,36.0,103.175.73.12:8080,http://103.175.73.12:8080/live/583/master.m3u8
Movies Now + (1080p),MoviesNowPlus.in,IN Movies,no,unreachable ([Errno 111] Connection refused) after 3 tries,0.6,149.71.34.166:8000,http://149.71.34.166:8000/play/a05t/index.m3u8
Movies Now HD (1080p),MoviesNow.in@HD,IN Movies,no,unreachable ([Errno 111] Connection refused) after 3 tries,0.8,103.161.153.165:8000,http://103.161.153.165:8000/play/mnh/index.m3u8
Oscar Movies Bhojpuri (576p),OscarMoviesBhojpuri.in,IN Movies,no,unreachable (timed out) after 3 tries,36.0,103.175.73.12:8080,http://103.175.73.12:8080/live/348/master.m3u8
Pravah Picture HD (1080p),PravahPicture.in@HD,IN Movies,no,unreachable ([Errno 111] Connection refused) after 3 tries,0.6,149.71.34.166:8000,http://149.71.34.166:8000/play/a06f/index.m3u8
Romedy Now (576p),RomedyNow.in,IN Movies,no,HTTP 403,0.4,103.157.248.140:8000,http://103.157.248.140:8000/play/a015/index.m3u8
Shemaroo Filmi Gaane (1080p),ShemarooFilmiGaane.in,IN Movies,no,HTTP 403,0.0,prod-runn.cdn.runn.tv,https://prod-runn.cdn.runn.tv/shemaroo/stream/smrfgn/playlist.m3u8
Shemaroo Filmi Gaane (1080p),ShemarooFilmiGaane.in,IN Movies,no,unreachable (timed out) after 3 tries,36.0,103.213.31.109:90,http://103.213.31.109:90/ShemarooFilmiGaane/playlist.m3u8
Shemaroo Josh (720p),ShemarooJosh.in,IN Movies,no,unreachable (timed out) after 3 tries,36.0,103.213.31.109:90,http://103.213.31.109:90/ChumbakTv/playlist.m3u8
Sony Max 2 (576p),SonyMax2.in,IN Movies,no,unreachable ([Errno 111] Connection refused) after 3 tries,0.6,149.71.34.166:8000,http://149.71.34.166:8000/play/a00z/index.m3u8
Star Gold Select HD (1080p),StarGoldSelect.in@HD,IN Movies,no,unreachable ([Errno 111] Connection refused) after 3 tries,0.6,149.71.34.166:8000,http://149.71.34.166:8000/play/a01d/index.m3u8
Star Gold Thrills (576p),StarGoldThrills.in,IN Movies,no,HTTP 403,0.4,103.253.18.58:8000,http://103.253.18.58:8000/play/a00o
Star Utsav Movies (576p),StarUtsavMovies.in,IN Movies,no,unreachable ([Errno 111] Connection refused) after 3 tries,0.6,149.71.34.166:8000,http://149.71.34.166:8000/play/a059/index.m3u8
Studio One + (720p),StudioOnePlus.in,IN Movies,no,HTTP 404,0.7,cdn-1.pishow.tv,https://cdn-1.pishow.tv/live/276/master.m3u8
Suriyan TV (576p),SuriyanTV.in,IN Movies,no,segment HTTP 404,3.0,stream.sscloud7.com,https://stream.sscloud7.com/live/suriyantv/index.m3u8
Zee Action (576p),ZeeAction.in,IN Movies,no,unreachable (timed out) after 3 tries,36.0,103.175.73.12:8080,http://103.175.73.12:8080/live/270/master.m3u8
Zee Biskope (576p),ZeeBiskope.in,IN Movies,no,unreachable (timed out) after 3 tries,36.0,103.175.73.12:8080,http://103.175.73.12:8080/live/347/master.m3u8
Zee Bollywood (580p),ZeeBollywood.in,IN Movies,no,HTTP 403,0.8,s3.itcnbd.live,https://s3.itcnbd.live/channel/a5979fd53c01d1b2.m3u8
Zee Cinema HD (1080p),ZeeCinema.in@HD,IN Movies,no,unreachable (timed out) after 3 tries,36.0,103.72.101.252:8080,http://103.72.101.252:8080/live/165.m3u8
Zee South Flix (1080p),ZeeSouthFlix.in,IN Movies,no,HTTP 403,0.2,amg00862-amg00862c9-amgplt0173.playout.now3.amagi.tv,https://amg00862-amg00862c9-amgplt0173.playout.now3.amagi.tv/playlist/amg00862-amg00862c9-amgplt0173/playlist.m3u8
